what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486027805110
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486027805226
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028391169
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028434396
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028440766
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028459145
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1486028460838
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1486028474762
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486028477478
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028479702
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028497550
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1486028499897
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1486028501567
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028502176
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028504435
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1486028506289
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028507136
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028508929
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1486028511289
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028511571
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028513228
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1486028515734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028516088
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486028517678
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1486028520513
